title,category,body
Pengumuman Pengingat Pajak Aplikasi Investasi CleanSpark,hoaks,"Beredar pengumuman pengingat pajak ditujukan kepada para pengguna aplikasi CleanSpark yang meminta untuk membayar pajak, agar dapat terus mengakses aplikasi tersebut. Pengguna yang membayar pajak dijanjikan akan diberikan voucher penarikan serta tidak akan ada lagi penarikan pajak ke depannya.Faktanya, pengumuman tersebut tidaklah benar. Dilansir dari jabarekspres.com, syarat membayar pajak bagi pengguna adalah trik terakhir CleanSpark (CLSK) sebelum kabur dengan dana dari para investornya. Selain itu, pakar kartu kredit Roy Shakti, menjelaskan dalam akun Instagramnya @royshakti, bahwa aplikasi CleanSpark adalah sebuah penipuan investasi. Perusahaan CleanSpark yang asli tidak memiliki hubungan dengan aplikasi CleanSpark (CLSK) yang beredar."
Informasi Lowongan Kerja di PT Timah Tbk,hoaks,"Beredar sebuah unggahan di media sosial Facebook yang berisi informasi mengenai lowongan pekerjaan di PT Timah Tbk. Dalam unggahan tersebut memuat puluhan posisi, persyaratan, besaran gaji, dan tautan pendaftaran.Faktanya, klaim unggahan tersebut adalah tidak benar. Dilansir dari turnbackhoax.id, setelah ditelusuri tautan pendaftaran dalam unggahan tersebut bukan mengarah ke laman resmi PT Timah Tbk, melainkan laman pengisian data diri seperti nama lengkap dan nomor telepon. Selanjutnya, calon pelamar diminta memasukkan kode OTP dan kata sandi dari Telegram, lalu mengunggah KTP serta CV (Curriculum Vitae). PT Timah Tbk melalui akun Facebook resminya PT TIMAH Tbk, mengimbau kepada masyarakat agar berhati-hati terhadap penipuan lowongan kerja yang mengatasnamakan PT Timah Tbk. Informasi lowongan pekerjaan resmi PT Timah TBk hanya melalui situs www.timah.com, Instagram @officialtimah, Facebook page PT Timah Tbk, Twitter/X @Official_Timah, dan TikTok @officialtimah."
Tentara Cina Bentrok dengan TNI di Wilayah Indonesia,hoaks,"Beredar sebuah video di media sosial Facebook dengan narasi yang menyebut bahwa tentara Cina mulai berani beraksi melawan Tentara Nasional Indonesia (TNI) secara terbuka di wilayah Indonesia. Tentara Cina itu disebut membawa persenjataan untuk menjaga aset investasi Cina seperti perkebunan sawit.Dilansir dari cekfakta.tempo.co, berdasarkan hasil penelusuran, video tersebut merupakan video lawas yang pernah beredar pada Juli 2022 dan tidak terkait dengan narasi tentara Cina. Video itu adalah peristiwa penertiban pelaku illegal mining (penambang liar) yang terjadi di Kecamatan Geumpang, Kabupaten Pidie, Provinsi Nanggroe Aceh Darussalam (NAD). Dikutip dari kumparan.com, Kabid Humas Polda Aceh Kombes Pol Winardy mengatakan peristiwa bentrok itu bermula dari penindakan hukum yang dilakukan tim gabungan Polda Aceh dan Polres Pidie terhadap pelaku penambangan ilegal di Pegunungan Bangkeh KM 21, Kecamatan Geumpang, Kabupaten Pidie. Saat itu petugas mengamankan empat terduga pelaku penambangan ilegal dan satu unit eskavator. Namun, saat hendak dibawa ke Polda untuk dilakukan pemeriksaan, petugas sempat mendapatkan penghadangan dari warga."
Akun WhatsApp Mengatasnamakan Plt Kadisdik Provinsi Riau Edi Rusma Dinata,hoaks,"Beredar akun WhatsApp yang mengatasnamakan Pelaksana Tugas (Plt) Kepala Dinas Pendidikan (Kadisdik) Provinsi Riau Edi Rusma Dinata. Akun tersebut terlihat menggunakan nama dan foto profil Edi Rusma Dinata.Faktanya, Dinas Pendidikan Provinsi Kepulauan Riau melalui akun Instagram resminya @pendidikan_riau, memberikan klarifikasi bahwa akun yang beredar mengatasnamakan Plt Kadisdik Provinsi Riau adalah penipuan. Edi Rusmadinata menegaskan bahwa akun tersebut bukan miliknya dan ia tidak pernah meminta atau menghubungi siapa pun untuk keperluan pribadi, apalagi terkait hal-hal sensitif seperti uang. Edi mengimbau kepada masyarakat, terutama para guru dan kepala sekolah di Riau, untuk berhati-hati dan tidak mudah percaya pada pesan-pesan yang mengatasnamakan dirinya."
Surat Edaran Iuran Sampah Mengatasnamakan Dinas Lingkungan Hidup Kota Bontang,hoaks,"Beredar sebuah surat edaran (SE) penarikan iuran sampah yang mengatasnamakan Dinas Lingkungan Hidup (DLH) Kota Bontang. SE yang ditujukan untuk pemilik rumah makan itu berisi informasi adanya iuran sampah bulanan Rp353.500 yang mencakup operasional pengangkutan dan pengolahan sampah. Terdapat nomor rekening atas nama Syakhruddin, serta nomor telepon dan email yang diklaim merupakan kontak DLH Bontang.Faktanya, dilansir dari bontangpost.id, surat edaran yang beredar tersebut adalah tidak benar. Kepala Bidang Pengelolaan Sampah DLH Kota Bontang Syakhruddin menyebut pihaknya tak pernah mengeluarkan SE itu. Masyarakat diimbau untuk berhati-hati dalam menyikapi informasi dan memastikan dahulu kebenaran sumber dan isi informasi yang diterima."
Nama Presiden Jokowi Tidak Disebut dalam Pelantikan DPR RI 2024-2029,hoaks,"Beredar video di akun media sosial Twitter/X yang menarasikan bahwa Presiden Joko Widodo (Jokowi) tidak disebut dalam pelantikan Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) periode 2024-2029.Faktanya, dilansir dari turnbackhoax.id, setelah ditelusuri pada kanal YouTube resmi DPR RI @DPRRIOfficial, Presiden Jokowi disebut dalam acara tersebut."
Akun WhatsApp Mengatasnamakan Kepala Disnaker Kabupaten Cirebon,hoaks,"Beredar sebuah akun WhatsApp di media sosial yang mengatasnamakan Kepala Dinas Ketenagakerjaan (Disnaker) Kabupaten Cirebon Novi Hendrianto, dengan menggunakan dua nomor WhatsApp yakni 08534354-7288 dan 082258125349.Faktanya, dilansir dari Instagram resminya Pemerintah Kabupaten (Pemkab) Cirebon @cirebonsaberhoaks dan @cirebonkab, mengonfirmasi bahwa akun WhatsApp tersebut bukan milik dari Kepala Disnaker Kabupaten Cirebon Novi Hendrianto. Pemkab Cirebon mengimbau kepada masyarakat untuk tidak mudah percaya dan selalu cek kebenarannya sebelum menindaklanjuti informasi yang ada dan meminta masyarakat agar memastikan informasi dari sumber dan kanal resmi Pemkab Cirebon."
"Kapal Terbalik di Kabupaten Gowa, Provinsi Sulawesi Selatan pada 6 Oktober 2024",hoaks,"Beredar sebuah video di media sosial Facebook yang memperlihatkan sebuah kapal berpenumpang penuh terbalik dan orang-orang jatuh ke air. Pengunggah dalam narasinya mengeklaim peristiwa kapal terbalik itu terjadi di Kabupaten Gowa, Provinsi Sulawesi Selatan (Sulsel) pada Minggu, 6 Oktober 2024.Faktanya, dikutip dari kompas.com, narasi kapal penumpang terbalik di Kabupaten Gowa, Provinsi Sulawesi Selatan (Sulsel) pada Minggu, 6 Oktober 2024 adalah hoaks. Peristiwa kapal terbalik itu terjadi di Danau Kivu, Republik Demokratik Kongo (DRC) pada 3 Oktober 2024. Insiden itu menewaskan 78 orang."
"Ulang Tahun Coca-Cola Berikan Hadiah 1 Unit Mobil, Uang Rp10 Juta, dan Ratusan Ponsel",hoaks,"Beredar sebuah akun Facebook memberikan informasi bahwa Coca Cola Indonesia sedang merayakan ulang tahun dan memberikan hadiah utama 1 unit mobil, hadiah uang Rp10 juta & mengirimkan 400 ponsel Samsung baru kepada semua orang yang mengucapkan selamat ulang tahun.Faktanya, dilansir dari turnbackhoax.id, akun Facebook tersebut adalah akun palsu yang mengatasnamakan Coca-Cola. Adapun akun Facebook resmi Coca-Cola Indonesia telah bercentang biru dengan 108 juta pengikut. Dalam laman resmi Coca-Cola Indonesia coca-cola.com, tidak terdapat informasi mengenai undian tersebut. Coca‑Cola Indonesia mengimbau undian serta survei berhadiah yang mengatasnamakan Coca Cola akan diinformasikan melalui kanal dan media sosial resmi Coca‑Cola Indonesia, serta melalui berita di media cetak ataupun elektronik yang dapat dipertanggungjawabkan."
Akun WhatsApp Mengatasnamakan Kasi Intel Kejaksaan Negeri Kabupaten Cirebon Ivan Yoko Wibowo,hoaks,"Beredar sebuah akun WhatsApp yang mengatasnamakan Kepala Seksi Intel Kejaksaan Negeri Kabupaten Cirebon Ivan Yoko Wibowo. Akun WhatsApp tersebut mengaku sebagai Ivan Yoko Wibowo dengan nomor +6282249614144.Faktanya, dilansir dari akun Instagram resmi Saber Hoaks Kabupaten Cirebon @cirebonsaberhoaks, nomor tersebut bukanlah milik Ivan Yoko Wibowo dan merupakan nomor palsu. Masyarakat diimbau untuk selalu waspada dan berhati-hati serta tidak menanggapi pesan dari nomor tersebut."
