,Title,Timestamp,FullText,Tags,Author,Url,Narasi,hoax
0,[PENIPUAN] Panggilan WA “Pinjam Dana” dari Pjs Bupati Asahan ,"Oktober 10, 2024","Hasil periksa fakta Rahmah.
Kepala Dinas Kominfo Kabupaten Asahan menegaskan nomor WhatsApp 0822 4131 2224 bukan milik Pjs Bupati Asahan Basarin Yunus.
KATEGORI: IMPOSTOR CONTENT
SUMBER: WHATSAPP
https://archive.vn/Eq7b5
NARASI: 
Assalmualaikum
Selamat malam PAK KASATPOL PP
Salam hormat kami
PJs BUPATI ASAHAN
Telp balik
PENJELASAN: 
Disadur dari laman resmi Pemerintah Kabupaten (Pemkab) Asahan.
Beredar pesan WhatsApp dari akun berfoto profil Pjs Bupati Asahan Basarin Yunus Tanjung. Akun dengan nomor 0822 4131 2224 itu melakukan panggilan suara untuk meminjam dana.
Melansir laman resmi Pemkab Asahan, Kepala Dinas Kominfo Kabupaten Asahan Arbin Ariadi menegaskan nomor tersebut bukanlah milik Pjs Bupati Asahan. Masyarakat diminta tidak mudah percaya terhadap akun yang mengatasnamakan pejabat di lingkungan Pemkab Asahan.
Nomor WhatsApp tersebut sampai saat ini masih ada, tetapi telah berganti foto profil orang lain. Dengan demikian, akun WhatsApp tersebut merupakan akun tiruan untuk modus penipuan.
REFERENSI: 
m.https://portal.asahankab.go.id/2024/10/04/waspada-modus-penipuan-mengatasnamakan-pjs-bupati-asahan
",Fitnah / Hasut / Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/10/10/penipuan-panggilan-wa-pinjam-dana-dari-pjs-bupati-asahan/,"Assalmualaikum
Selamat malam PAK KASATPOL PP
Salam hormat kami
PJs BUPATI ASAHAN
Telp balik",1
1,[PENIPUAN] Undian Berhadiah Mobil BMW dan Tabungan Emas dari Bank Muamalat,"Oktober 10, 2024","Hasil periksa fakta Raymondha 
Tidak ada informasi tentang undian berhadiah seperti itu di akun resmi Bank Muamalat.
=========== 
[KATEGORI]: Konten Tiruan
=========== 
[SUMBER]: Facebook https://turnbackhoax.id/wp-content/uploads/2024/10/bank-muamalat.jpg (arsip) 
=========== 
[NARASI]:  
“Kini hadir lagi 𝗨𝗻𝗱𝗶𝗮𝗻 Bank Muamalat 𝗙𝗲𝘀𝘁𝗶𝘃𝗮𝗹,
Yuk Ambil 𝗞𝘂𝗽𝗼𝗻 𝗨𝗻𝗱𝗶𝗮𝗻 Anda Caranya Tekan tombol yang bertulisan 𝗗𝗮𝗳𝘁𝗮𝗿 dibawah Gambar ini.
Sobat Muamalat Selamat kamu telah beruntung Jangan lewatkan kesempatan : Memenangkan 𝗛𝗮𝗱𝗶𝗮𝗵 𝗨𝘁𝗮𝗺𝗮 & Berbagai 𝗵𝗮𝗱𝗶𝗮𝗵 𝗺𝗲𝗻𝗮𝗿𝗶𝗸 𝗹𝗮𝗶𝗻𝗻𝘆𝗮. 
●Rp.100.000.000 Saldo Muamalat DIN < 5 Unit BMW 520i M Sport
●Rp.75.000.000 Saldo Muamalat DIN < 20 Unit Hyundai Creta Alpha
●Rp.50.000.000 Saldo Muamalat DIN < 50 Unit Vespa Primavera
●Rp.25.000.000 Saldo Muamalat DIN < 75 Unit iPhone 16 Pro Max
●Rp.2.500.000 Saldo Muamalat DIN < 1.000 Tabungan Emas @Rp5 Juta” 
=========== 
[PENJELASAN]:  
Akun Facebook “Program Undian Muamalat DIN” pada Kamis (3/10/2024) membagikan informasi mengenai undian berhadiah dari Bank Muamalat. Hingga Senin (7/10/2024), unggahan tersebut mendapat 54 tanda suka dan 21 komentar, sebagian besar menyatakan niat untuk mendaftar.
Setelah ditelusuri, akun yang mengatasnamakan Bank Muamalat ini hanya memiliki delapan pengikut. Tautan dalam unggahan juga tidak mengarah ke situs resmi Bank Muamalat. Berdasarkan penelusuran tim pemeriksa fakta Mafindo (TurnBackHoax) di akun Instagram resmi @bank.muamalat, tidak ada informasi mengenai undian berhadiah seperti dalam unggahan “Program Undian Muamalat DIN”.
Bank Muamalat mengingatkan nasabah agar waspada terhadap penipuan dan menyarankan untuk menjaga data pribadi. Nasabah juga diminta melapor ke kanal resmi, seperti SalaMuamalat (1500016), bila menemukan informasi yang meragukan.
Jadi, unggahan dan akun Facebook “Program Undian Muamalat DIN” itu merupakan konten tiruan, serta perlu diwaspadai sebagai modus penipuan.
=========== 
[REFERENSI] :
https://www.instagram.com/p/C9bd69hpv3U/?hl=en&img_index=3
http://www.bankmuamalat.co.id/ 
https://www.facebook.com/BankMuamalatIndonesia",Fitnah / Hasut / Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/10/10/penipuan-undian-berhadiah-mobil-bmw-dan-tabungan-emas-dari-bank-muamalat/,"“Kini hadir lagi 𝗨𝗻𝗱𝗶𝗮𝗻 Bank Muamalat 𝗙𝗲𝘀𝘁𝗶𝘃𝗮𝗹,
Yuk Ambil 𝗞𝘂𝗽𝗼𝗻 𝗨𝗻𝗱𝗶𝗮𝗻 Anda Caranya Tekan tombol yang bertulisan 𝗗𝗮𝗳𝘁𝗮𝗿 dibawah Gambar ini.
Sobat Muamalat Selamat kamu telah beruntung Jangan lewatkan kesempatan : Memenangkan 𝗛𝗮𝗱𝗶𝗮𝗵 𝗨𝘁𝗮𝗺𝗮 & Berbagai 𝗵𝗮𝗱𝗶𝗮𝗵 𝗺𝗲𝗻𝗮𝗿𝗶𝗸 𝗹𝗮𝗶𝗻𝗻𝘆𝗮. 
●Rp.100.000.000 Saldo Muamalat DIN < 5 Unit BMW 520i M Sport
●Rp.75.000.000 Saldo Muamalat DIN < 20 Unit Hyundai Creta Alpha
●Rp.50.000.000 Saldo Muamalat DIN < 50 Unit Vespa Primavera
●Rp.25.000.000 Saldo Muamalat DIN < 75 Unit iPhone 16 Pro Max
●Rp.2.500.000 Saldo Muamalat DIN < 1.000 Tabungan Emas @Rp5 Juta”",1
2,[PENIPUAN] Akun Facebook “M R Terimakasih” Berbagi Uang,"Oktober 10, 2024","Akun palsu. Akun resmi Sergei Domogatski atau yang dikenal sebagai Mr.Terimakasih adalah instagram.com/mr.terimakasih, instagram.com/mr.terimakasih.official, dan tiktok.com/@mr.terima_kasih.
Selengkapnya di bagian PENJELASAN dan REFERENSI.===========================================Kategori: Konten Tiruan===========================================
Akun Facebook “M R Terimakasih” (fb.com/mrbulefans123) yang memiliki pengikut lebih dari 163 ribu akun pada Senin (7/10/2024) membagikan gambar bernarasi: “Selamat Uang telah datang untuk membangun rumah untuk Anda KLAIM. Semoga bermanfaat untuk sodara2 saya semua #wilisalim #sorotan“. Postingan ini mendapatkan reaksi lebih dari 25 ribu kali, dikomentari lebih dari 6.700 kali dan dibagikan 329 kali.
Sumber: https://arsip.cekfakta.com/archive/1728542605.592413/index.html (Arsip)===========================================
PENJELASANBerdasarkan hasil penelusuran tim pemeriksa fakta Mafindo (TurnBackHoax), akun Facebook “M R Terimakasih” yang berbagi hadiah mengatasnamakan Sergei Domogatski (Mr.Terimakasih) merupakan konten tiruan.
Sebelumnya, modus penipuan yang mencatut nama Sergei Domogatski ini sudah pernah diperiksa faktanya oleh TurnBackHoax pada Juli 2024.
Penelusuran di media sosial menemukan akun resmi Sergei Domogatski atau yang dikenal sebagai Mr.Terimakasih adalah instagram.com/mr.terimakasih, instagram.com/mr.terimakasih.official, dan tiktok.com/@mr.terima_kasih.
REFERENSIhttps://turnbackhoax.id/2024/07/02/penipuan-akun-facebook-mr-terimakasih-berbagi-hadiah/",Fitnah / Hasut / Hoax,Adi Syafitrah,https://turnbackhoax.id/2024/10/10/penipuan-akun-facebook-m-r-terimakasih-berbagi-uang/,"“Selamat Uang telah datang untuk membangun rumah untuk Anda KLAIM. Semoga bermanfaat untuk sodara2 saya semua #wilisalim #sorotan“. Postingan ini mendapatkan reaksi lebih dari 25 ribu kali, dikomentari lebih dari 6.700 kali dan dibagikan 329 kali.
Sumber: https://arsip.cekfakta.com/archive/1728542605.592413/index.html (Arsip)",1
3,"[PENIPUAN] Inul Daratista Bikin Kuis Tebak Buah, Hadiah Rp270 Juta Tanpa Diundi","Oktober 10, 2024","Hasil periksa fakta Moch. Marcellodiansyah
Unggahan yang beredar merupakan konten tiruan. Inul tak pernah menyampaikan narasi tersebut.
= = =
Kategori: Konten Tiruan
= = =
Sumber: Facebook 
https://bit.ly/3TPvXNl
= = =
Narasi:
“TEBAK NAMA BUAH DI BAWAH YANG BENAR AKU TRANSFER UANG 270 JUTA TANPA DIUNDI. P-A-S-I-G-N.”
= = =
Penjelasan:
Akun Facebook “Riska Saputri” membagikan video reels yang menampilkan Inul Daratista. Pengunggah menarasikan Inul akan mentransfer uang Rp270 juta tanpa diundi, jika penonton berhasil menebak nama buah dari susunan huruf yang diacak.
Unggahan yang beredar sejak Sabtu (21/9/2024) tersebut per Kamis (10/10/2024) telah disukai dua ribu akun dan menuai lebih dari 10 ribu komentar, mayoritas terlihat memercayai kuis tersebut dan ikut menebak kata. Warganet yang berhasil menjawab diarahkan untuk menghubungi pengunggah lewat WhatsApp.
Tim pemeriksa fakta Mafindo (TurnBackHoax) kemudian menelusuri akun TikTok asli milik Inul, @inul.daratista. Hasilnya, video unggahan akun Facebook “Riska Saputri” memang merupakan potongan konten Inul yang tayang pada Minggu (7/7/2024). Namun, tidak ada narasi berupa kuis menebak nama buah sebagaimana yang disebarkan “Riska Saputri”.
Jadi, unggahan dengan narasi“Inul Daratista bagikan uang 270 juta tanpa diundi bagi yang berhasil tebak kata nama buah” termasuk konten tiruan.
Perlu diketahui, mekanisme undian atau giveaway seperti ini sering kali merupakan modus penipuan. Pelaku biasanya mengarahkan korban untuk menghubungi sebuah nomor, kemudian pelaku meminta data pribadi yang bersifat rahasia dan akhirnya disalahgunakan.
= = =
Referensi: 
= = = ",Fitnah / Hasut / Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/10/10/penipuan-inul-daratista-bikin-kuis-tebak-buah-hadiah-rp270-juta-tanpa-diundi/,"“TEBAK NAMA BUAH DI BAWAH YANG BENAR AKU TRANSFER UANG 270 JUTA TANPA DIUNDI. P-A-S-I-G-N.”
= =",1
4,[SALAH] Anies Baswedan Jadi Ketua Umum Partai Perubahan Indonesia,"Oktober 10, 2024","Hasil periksa fakta Moch. Marcellodiansyah
Hingga artikel ini ditayangkan, tidak ada pemberitaan kredibel yang membenarkan Anies adalah Ketua Umum Partai Perubahan Indonesia.
= = =
Kategori: Konten yang Menyesatkan
= = =
Sumber: Facebook dan TikTok
https://bit.ly/3zGMEni
https://archive.ph/bsm5A
= = =
Narasi:
“Mana Nih pendukung Anak Abah”
“Partai Perubahan Indonesia” 
“H. Anies Rasyid Baswedan, S.E., M.P.P., Ph. D. KETUA UMUM PPI”
= = =
Penjelasan:
Salah satu unggahan video di grup Facebook “INDONESIA BERSUARA” dari akun anonim pada Minggu (29/9/2024) menyebut Anies Baswedan merupakan Ketua Umum Partai Perubahan Indonesia. Video berasal dari akun TikTok “alibaba_id”, telah dilihat lebih dari 1,3 juta kali dan disukai 100 ribu akun.
Tim pemeriksa fakta Mafindo (TurnBackHoax) menelusuri klaim itu menggunakan mesin pencarian Google dengan kata kunci “Anies Baswedan Ketua Umum Partai Perubahan Indonesia”. Hasilnya, tidak ada pemberitaan kredibel yang membenarkan Anies adalah Ketua Umum Partai Perubahan Indonesia.
Dalam video “Catatan Anies Pasca Pilpres dan Pendaftaran Pilkada 2024” yang diunggah di kanal YouTube resmi Anies Baswedan pada Jumat (20/8/2024), Anies memang mengungkap kemungkinan dirinya membuat organisasi masyarakat (ormas) atau partai baru. Namun, Anies tak secara eksplisit mengatakan ia akan memimpin partai itu dan hanya mengajak publik untuk menunggu perkembangan lebih lanjut.
Sebelumnya, di media sosial beredar tautan (link) pendaftaran Partai Perubahan yang didirikan oleh Anies Baswedan. Konten tersebut sudah dibantah kebenarannya oleh tim pemeriksa fakta Mafindo (TurnBackHoax). Anies Baswedan melalui Instagram-nya pada Sabtu (31/8/2024) menyampaikan pihaknya belum mengedarkan apapun terkait adanya ormas atau partai baru.
Dengan demikian, klaim “Anies Baswedan merupakan Ketua Umum Partai Perubahan Indonesia” adalah narasi yang tidak benar, termasuk dalam kategori konten yang menyesatkan.
= = =
Referensi: 
https://www.instagram.com/p/C_UsK7RS9ih
= = = ",Fitnah / Hasut / Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/10/10/salah-anies-baswedan-jadi-ketua-umum-partai-perubahan-indonesia/,"“Mana Nih pendukung Anak Abah”
“Partai Perubahan Indonesia” 
“H. Anies Rasyid Baswedan, S.E., M.P.P., Ph. D. KETUA UMUM PPI”
= =",1
5,"[PENIPUAN] Agnez Mo Bagi-Bagi Uang Ratusan Juta, Cari 110 Orang","Oktober 10, 2024","Hasil periksa fakta Moch. Marcellodiansyah
Unggahan tersebut bukan berasal dari akun media sosial resmi milik Agnez Mo.
= = =
Kategori: Konten Tiruan
= = =
Sumber: Facebook
https://bit.ly/3ZP6OGd
= = =
Narasi:
“Saya Agnes Mo 110 orang tercepat yang mengucapkan {halo} aku transfer 50 juta hingga ratusan juta secara acak.”
= = =
Penjelasan:
Halaman Facebook “Agnezz-M00” (https://www.facebook.com/profile.php?id=61553894891865) pada Senin (30/09/2024) melakukan siaran langsung yang menampilkan Agnez Mo. Terdapat takarir “Saya Agnes Mo 110 orang tercepat yang mengucapkan {halo} aku transfer 50 juta hingga ratusan juta secara acak” yang menyertai video berdurasi empat jam itu.
Per Kamis (10/10/2024), video siaran tersebut menuai hampir lima ribu komentar, mayoritas meresponsnya dengan kata “halo”.
Tim pemeriksa fakta Mafindo (TurnBackHoax) mencari tahu akun asli halaman Facebook Agnez Mo dengan mengunjungi Instagram @agnezmo. Di bio Instagram-nya terdapat tautan linktr.ee/agnezmo yang menghubungkan halaman asli dari Agnez Mo.
Diketahui, penyanyi tersebut hanya memiliki satu halaman Facebook—yakni “AGNEZ MO” —yang bercentang biru. Tidak ditemukan rekaman sebagaimana yang ada di halaman “Agnezz-M00” dalam akun media sosial resmi Agnez Mo.
Dengan demikian, halaman Facebook “Agnezz-M00” merupakan akun palsu, termasuk kategori hoaks konten tiruan.
= = =
Referensi:
https://www.instagram.com/agnezmo
https://web.facebook.com/agnezmo
https://yandex.com/images/search?cbir_id=3089188%2F4knSyio2aygGO8UuMX2_EA5277&lr=111965&rpt=imageview&url=https%3A%2F%2Favatars.mds.yandex.net%2Fget-images-cbir%2F3089188%2F4knSyio2aygGO8UuMX2_EA5277%2Forig
= = = ",Fitnah / Hasut / Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/10/10/penipuan-agnez-mo-bagi-bagi-uang-ratusan-juta-cari-110-orang/,"“Saya Agnes Mo 110 orang tercepat yang mengucapkan {halo} aku transfer 50 juta hingga ratusan juta secara acak.”
= =",1
6,[PENIPUAN] Nomor WhatsApp untuk Pengajuan KUR Bank Mandiri,"Oktober 10, 2024","Hasil periksa fakta Panji
Informasi layanan online yang diunggah akun TikTok “pinjaman_kur_mandiri” merupakan konten tiruan, mencatut nama Bank Mandiri dan merupakan modus penipuan.
===========
[KATEGORI]: Konten tiruan
===========
[SUMBER]: Tiktok https://ghostarchive.org/archive/LYPpK (arsip)
==========
[NARASI]: Syarat Pengajuan KUR Bank Mandiri 2024 Berikut Dokumen yang Perlu Disiapkan KER pengajuan di pinjaman bank mandiri yang harus disiapkan Poto KTP Selfi sama KTP Nomor rekeningnya sama atas nama nya ajukan di pinjaman bank mandiri tanpa survei tanpa jaminan proses pengiriman cepat 700% acc.yang minat bisa langsung Hubungi nomor wa admin di bio profil tiktok
===========
[PENJELASAN]: 
Akun Tiktok “pinjaman_kur_mandiri” pada Selasa (8/10/2024) menyebarkan konten berisi informasi pengajuan pinjaman online—termasuk kredit usaha rakyat (KUR)—dengan menghubungi nomor Whatsapp yang berada pada bio akun.
Dari penelusuran tim pemeriksa fakta Mafindo (TurnBackHoax), akun TikTok resmi milik Bank Mandiri adalah “bankmandiri” yang bercentang biru. Dalam akun tersebut, tak ada unggahan sebagaimana yang disebarkan “pinjaman_kur_mandiri”.
Melansir laman resmi Bank Mandiri, masyarakat disarankan mengajukan KUR ke kantor cabang/unit mikro Bank Mandiri terdekat. Jadi, unggahan akun TikTok “pinjaman_kur_mandiri” merupakan konten tiruan, patut diwaspadai sebagai modus penipuan yang mencatut Bank Mandiri.
===========
[REFERENSI] :
https://www.tiktok.com/@bankmandiri
https://bankmandiri.co.id/kredit-usaha-rakyat-2024
",Fitnah / Hasut / Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/10/10/penipuan-nomor-whatsapp-untuk-pengajuan-kur-bank-mandiri/,Syarat Pengajuan KUR Bank Mandiri 2024 Berikut Dokumen yang Perlu Disiapkan KER pengajuan di pinjaman bank mandiri yang harus disiapkan Poto KTP Selfi sama KTP Nomor rekeningnya sama atas nama nya ajukan di pinjaman bank mandiri tanpa survei tanpa jaminan proses pengiriman cepat 700% acc.yang minat bisa langsung Hubungi nomor wa admin di bio profil tiktok,1
7,[PENIPUAN] Pendaftaran Kerja PT Freeport Melalui Link di Facebook,"Oktober 10, 2024","Hasil periksa fakta Panji
Faktanya pendaftaran kerja di Freeport hanya dapat diakses melalui website resmi mereka saja. Freeport tidak mencantumkan sebuah nomor WA untuk mencari tahu info lowongan kerja baik di Instagram maupun di website mereka.
=========== 
[KATEGORI]: Konten tiruan
=========== 
[SUMBER]: Facebook https://ghostarchive.org/archive/y6SRr (arsip) 
=========== 
[NARASI]:  
Open Recruitment
PT Freeport Indonesia
Terbuka Untuk Lulusan SMA/SMK, D3 & S1
Tersedia Posisi Untuk Semua Jurusan
* Gaji Rp.12.000.000 Hingga Rp.32.000.000
BUMN Pertambangan Emas & Tembaga
*
Untuk info lowongan BUMN terupdate gabung di Link :
=========== 
[PENJELASAN]:  
Sebuah akun Facebook bernama “info lowongan kerja” membagikan sebuah postingan pada tanggal 7 Oktober 2024 berisikan informasi lowongan kerja di PT Freeport. Unggahan tersebut juga menyertakan sebuah link yang diklaim sebagai link pendaftaran, namun link tersebut tidak mengarahkan ke website resmi Freeport.
Untuk memastikannya, dilakukan pencarian di akun Instagram resmi Freeport (@freeportindonesia). Pada deskripsi akun Instagram Freeport, mereka mengimbau agar masyarakat berhati-hati dengan beredarnya informasi palsu mengenai lowongan kerja di PT Freeport Indonesia.
Selain memberikan himbauan tersebut, mereka juga menegaskan jika informasi lowongan kerja Freeport hanya dapat diakses melalui website resmi mereka saja di ptfi.co.id/id/karir.
Freeport tidak menginfokan nomor Whatsapp apapun berkaitan dengan pendaftaran kerja. Dengan demikian dapat disimpulkan jika link lowongan kerja Freeport yang beredar di Facebook tersebut adalah penipuan.
=========== 
 [REFERENSI] : 
https://www.instagram.com/freeportindonesia
",Fitnah / Hasut / Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/10/10/penipuan-pendaftaran-kerja-pt-freeport-melalui-link-di-facebook/,"Open Recruitment
PT Freeport Indonesia
Terbuka Untuk Lulusan SMA/SMK, D3 & S1
Tersedia Posisi Untuk Semua Jurusan
* Gaji Rp.12.000.000 Hingga Rp.32.000.000
BUMN Pertambangan Emas & Tembaga
*
Untuk info lowongan BUMN terupdate gabung di Link :",1
8,[PENIPUAN] “Mir’a Hayati berbagi rejeki melalui akun Facebook Mira Hayati”,"Oktober 10, 2024","Akun palsu. Akun Facebook Mir’a Hayati adalah Mir’a Hayati (facebook.com/mira.hayati17) yang terlampir di bio akun Instagram resmi Mir’a Hayati (instagram.com/mirahayati29). 
Selengkapnya di bagian PENJELASAN dan REFERENSI.
===========================================
Kategori: Konten Tiruan
===========================================
Akun Facebook “Mira Hayati” (fb.com/61553571579416) yang memiliki jumlah pengikut lebih dari 86.000 pada 3 Oktober 2024 mengunggah sebuah video reels dengan narasi “Semoga follower follower bunda beruntung dan bisa bermanfaat buat keluarga dan saudara”. Video ini sudah mendapatkan reaksi lebih dari 83.300 kali, dikomentari lebih dari 34 ribu kali dan dibagikan lebih dari 1.100 kali.
Sumber: https://arsip.cekfakta.com/archive/1728491115.400052/index.html  (Arsip)
===========================================
PENJELASAN 
Berdasarkan hasil penelusuran, adanya akun Facebook “Mira Hayati” yang mengatasnamakan pengusaha di bidang kecantikan asal Makassar, Mir’a Hayati merupakan konten tiruan.
Faktanya, akun tersebut merupakan akun palsu. Akun Facebook Mir’a Hayati adalah Mir’a Hayati (facebook.com/mira.hayati17) yang terlampir di bio akun Instagram resmi Mir’a Hayati (instagram.com/mirahayati29). 
Modus penipuan mengatasnamakan influencer seperti Mir’a Hayati ini merupakan modus penipuan yang sering terjadi. Berdasarkan hasil penelusuran di situs turnbackhoax.id, sebelumnya sudah pernah ada beberapa artikel yang membahas modus penipuan mengatasnamakan Mir’a Hayati tersebut.
REFERENSI",Fitnah / Hasut / Hoax,Adi Syafitrah,https://turnbackhoax.id/2024/10/10/penipuan-mira-hayati-berbagi-rejeki-melalui-akun-facebook-mira-hayati/,,1
9,"[SALAH] DPR Sahkan RUU Wantimpres, Eks Napi Bisa Jadi Anggota","Oktober 10, 2024","Artikel hasil periksa fakta Vinanda (Relawan Mafindo)
Faktanya, orang yang pernah diancam atau dijatuhi hukuman berdasarkan putusan pengadilan—termasuk bekas narapidana—tidak memenuhi syarat menjadi anggota Wantimpres.
————————————————————–
KATEGORI: KONTEN YANG MENYESATKAN
————————————————————–
NARASI:
DPR SAH KAN RUU WANTIMPRES BEKAS NARAPIDANA BISA MENJADI ANGGOTA NYA
DETIK DETIK berakhirnya tugas DPR , memberi LEGACY yang menyesatkan dengan mensyahkan RUU WANTIMPRES , EX NARAPIDANA bisa menjadi anggotanya
Aroma perpanjangan cawe cawe JOKOWI akan berlanjut dengan duduk di WANTIMPRES , paling tidak bisa mendapat kekebalan HUKUM
Tampaknya anggota DPR benar benar sudah menjadi PENGKHIANAT BANGSA karena tidak mampu menolak kemauan JOKOWI , karena TERSANDERA kasus kasus HUKUM , bahkan suami ketua DPR disebut” di KPK  , terlibat KASUS TAMBANG
Masih belum puas menghancurkan BANGSA … hai PARPOL PENGKHIANAT , kehancuran kalian tinggal menghitung hari
RAKYAT yang tersakiti akan memburu, menghadang dan menggilas KALIAN….
Rustam Efendi , ketum PRO
Arsip: https://archive.md/AUV9H 

————————————————————–
PENJELASAN:
Akun Facebook “Abd Halim Farid Efendi” mengunggah tangkapan layar dari akun Tiktok @platform.id yang isinya berupa narasi “DPR Sahkan RUU Wantimpres, Eks Narapidana Bisa Jadi Penasehat Presiden”.
Tim pemeriksa fakta Mafindo (TurnBackHoax) kemudian menelusuri klaim tersebut dengan mengetikkan kata kunci “Eks Narapidana Bisa Jadi Wantimpres” ke mesin pencari Google. Hasilnya, muncul pemberitaan Kompas.com berjudul “DPR Resmi Sahkan UU Wantimpres: Anggota Tak Boleh Pernah Dipidana” yang tayang Kamis (19/9/2024).
Faktanya, sebelum disahkan menjadi UU, DPR justru melakukan penyempurnaan atas salah satu butir aturan (Pasal 8 Huruf G), yakni “bekas narapidana di bawah 5 tahun dapat mencalonkan diri menjadi anggota”.
Dilansir dari Kompas.com, penyempurnaan tersebut mengubah bunyi Pasal 8 huruf G menjadi “tidak pernah diancam atau dijatuhi hukuman berdasarkan putusan pengadilan yang telah memperoleh kekuatan hukum tetap.”
Orang yang pernah diancam atau dijatuhi hukuman berdasarkan putusan pengadilan—termasuk bekas narapidana—tidak memenuhi syarat untuk menjadi anggota Wantimpres.
Jadi, unggahan dengan narasi “DPR Sahkan RUU Wantimpres, Eks Narapidana Bisa Jadi Penasehat Presiden” itu merupakan konten yang menyesatkan.
————————————————————
REFERENSI: 
https://nasional.kompas.com/read/2024/09/19/12532351/dpr-resmi-sahkan-uu-wantimpres-anggota-tak-boleh-pernah-dipidana",Fitnah / Hasut / Hoax,Relawan Mafindo,https://turnbackhoax.id/2024/10/10/salah-dpr-sahkan-ruu-wantimpres-eks-napi-bisa-jadi-anggota/,"DPR SAH KAN RUU WANTIMPRES BEKAS NARAPIDANA BISA MENJADI ANGGOTA NYA
DETIK DETIK berakhirnya tugas DPR , memberi LEGACY yang menyesatkan dengan mensyahkan RUU WANTIMPRES , EX NARAPIDANA bisa menjadi anggotanya
Aroma perpanjangan cawe cawe JOKOWI akan berlanjut dengan duduk di WANTIMPRES , paling tidak bisa mendapat kekebalan HUKUM
Tampaknya anggota DPR benar benar sudah menjadi PENGKHIANAT BANGSA karena tidak mampu menolak kemauan JOKOWI , karena TERSANDERA kasus kasus HUKUM , bahkan suami ketua DPR disebut” di KPK  , terlibat KASUS TAMBANG
Masih belum puas menghancurkan BANGSA … hai PARPOL PENGKHIANAT , kehancuran kalian tinggal menghitung hari
RAKYAT yang tersakiti akan memburu, menghadang dan menggilas KALIAN….
Rustam Efendi , ketum PRO
Arsip: https://archive.md/AUV9H 

————————————————————–",1
